,Company,Max,Min,Movements,companies,labels
86,DSJA,7155,18930,-11775,DSJA,1
87,DSOC,79,18931,-18852,DSOC,2
88,DUDE,16190,15279,911,DUDE,3
89,DURA,8051,18933,-10882,DURA,1
90,DUSA,16192,25384,-9192,DUSA,1
91,DWLD,16193,25385,-9192,DWLD,1
92,EAOA,7161,18936,-11775,EAOA,1
93,EAOK,7162,16650,-9488,EAOK,1
94,EAOM,16196,7163,9033,EAOM,3
95,EAOR,16197,7164,9033,EAOR,3
96,ECH,34468,527,33941,ECH,0
97,EDEN,16199,33986,-17787,EDEN,2
98,EEMV,18483,25857,-7374,EEMV,1
99,EFAD,16201,27731,-11530,EFAD,1
100,EFAV,16202,6280,9922,EFAV,3
101,EFG,16203,33990,-17787,EFG,2
102,EFNL,16204,7171,9033,EFNL,3
103,EFV,16205,15749,456,EFV,3
104,EGIS,16206,24467,-8261,EGIS,1
105,EMDV,18490,25864,-7374,EMDV,1
106,EMGF,16208,15752,456,EMGF,3
107,EMHY,18492,22621,-4129,EMHY,1
108,EMSH,33029,22622,10407,EMSH,0
109,EMTL,5843,34964,-29121,EMTL,2
110,ENOR,16667,15756,911,ENOR,3
111,EPRF,982,3184,-2202,EPRF,3
112,ESCR,983,4511,-3528,ESCR,1
113,ESEB,16215,17126,-911,ESEB,3
114,ESG,16216,34003,-17787,ESG,2
115,ESGG,16217,29669,-13452,ESGG,1
116,ESGV,16218,25875,-9657,ESGV,1
117,ESHY,20794,21252,-458,ESHY,3
118,ESML,16220,25412,-9192,ESML,1
119,EUCG,24948,15310,9638,EUCG,3
120,EUDV,11686,21255,-9569,EUDV,1
121,EURZ,23095,15312,7783,EURZ,3
122,EWGS,16224,28235,-12011,EWGS,1
123,EWUS,16225,21258,-5033,EWUS,1
124,EYLD,19427,14861,4566,EYLD,3
125,EZU,16227,34014,-17787,EZU,2
126,FAIL,2318,31603,-29285,FAIL,2
127,FAPR,34499,34016,483,FAPR,3
128,FAUG,16229,998,15231,FAUG,0
129,FBCG,16230,34984,-18754,FBCG,2
130,FBCV,16231,1000,15231,FBCV,0
131,FCPI,13054,1442,11612,FCPI,0
132,FCTR,23105,15777,7328,FCTR,3
133,FDEC,8094,15323,-7229,FDEC,1
134,FDEM,16235,19893,-3658,FDEM,1
135,FDEV,24963,27766,-2803,FDEV,1
136,FDG,13059,1447,11612,FDG,0
137,FEBZ,18521,25430,-6909,FEBZ,1
138,FEDX,7652,5870,1782,FEDX,3
139,FFEB,16240,25897,-9657,FFEB,1
140,FFHG,18524,24502,-5978,FFHG,1
141,FFSG,22194,570,21624,FFSG,0
